EAGLEMONT;3084;1871
EARLSTON;3669;87
EAST BAIRNSDALE;3875;735
EAST BENDIGO;3550;2078
EAST GEELONG;3219;2160
EAST MELBOURNE;3002;6008
EAST SALE;3852;81
EAST WANGARATTA;3678;50
EAST WARBURTON;3799;629
EASTERN VIEW;3231;81
EASTVILLE;3463;37
EASTWOOD;3875;1325
EBDEN;3691;63
ECHUCA;3564;9001
ECHUCA VILLAGE;3564;317
ECHUCA WEST;3564;221
ECKLIN SOUTH;3265;139
EDDINGTON;3472;178
EDEN PARK;3757;581
EDENHOPE;3318;1020
EDGECOMBE;3444;52
EDI;3678;62
EDI UPPER;3678;99
EDITHVALE;3196;3168
EGANSTOWN;3461;153
EILDON;3713;840
ELAINE;3334;241
ELDORADO;3746;277
ELEVATED PLAINS;3461;32
ELINGAMITE;3266;35
ELINGAMITE NORTH;3266;58
ELIZABETH ISLAND;3921;2
ELLASWOOD;3875;95
ELLERSLIE;3265;151
ELLIMINYT;3250;1399
ELLINBANK;3821;134
ELMHURST;3469;245
ELMORE;3558;688
ELPHINSTONE;3448;551
ELSTERNWICK;3185;6950
ELTHAM;3095;8592
ELTHAM NORTH;3095;2546
ELWOOD;3184;10963
EMERALD;3782;2588
EMU;3475;122
EMU CREEK;3551;204
ENDEAVOUR HILLS;3802;9191
ENFIELD;3352;303
ENGLEFIELD;3407;36
ENOCHS POINT;3723;41
ENSAY;3895;212
ENSAY NORTH;3895;96
EPPALOCK;3551;402
EPPING;3076;13904
EPSOM;3551;2179
ERCILDOUNE;3352;77
ERICA;3825;172
ERRINUNDRA;3889;23
ESKDALE;3701;265
ESMOND;3730;24
ESSENDON;3040;12538
ESSENDON FIELDS;3041;89
ESSENDON NORTH;3041;2056
ESSENDON WEST;3040;747
EUMEMMERRING;3177;1109
EURACK;3251;55
EUREKA;3350;350
EUROA;3666;2304
EUROBIN;3739;157
EVANSFORD;3371;216
EVERSLEY;3377;28
EVERTON;3678;139
EVERTON UPPER;3678;143
EXFORD;3338;51
EYNESBURY;3338;1182
FAIRBANK;3951;21
FAIRFIELD;3078;4625
FAIRHAVEN;3231;608
FAIRLEY;3579;26
FAIRY DELL (BAIRNSDALE);3875;3
FAIRY DELL (ROCHESTER);3561;72
FALLS CREEK;3699;157
FARADAY;3451;164
FAWCETT;3714;82
FAWKNER;3060;6358
FENTONS CREEK;3518;66
FERGUSON;3237;33
FERN HILL;3458;76
FERNBANK;3864;178
FERNDALE;3821;55
FERNIHURST;3518;51
FERNSHAW;3778;34
FERNTREE GULLY;3156;13519
FERNY CREEK;3786;627
FIERY FLAT;3518;58
FINGAL;3939;535
FISH CREEK;3959;628
FISH POINT;3585;35
FISKVILLE;3342;23
FITZROY;3065;8159
FITZROY NORTH;3068;7707
FLAGGY CREEK;3875;51
FLAGSTAFF;3465;58
FLAMINGO BEACH;3851;1135
FLEMINGTON;3031;4977
FLINDERS;3929;1327
FLORA HILL;3550;2219
FLOWERDALE;3658;430
FLOWERDALE;3717;245
FLYNN;3844;161
FLYNNS CREEK;3844;29
FOOTSCRAY;3011;10668
FORBES;3764;78
FOREST HILL;3131;5432
FORGE CREEK;3875;209
FORREST;3236;353
FOSTER;3960;1423
FOSTER NORTH;3960;164
FOSTERVILLE;3557;160
FOXHOW;3323;44
FRAMLINGHAM;3265;124
FRAMLINGHAM EAST;3265;21
FRANKLINFORD;3461;83
FRANKSTON;3199;22260
FRANKSTON NORTH;3200;2700
FRANKSTON SOUTH;3199;8297
FREEBURGH;3741;146
FRENCH ISLAND;3921;543
FRENCHMANS;3384;19
FRESHWATER CREEK;3217;229
FRYERSTOWN;3451;301
FULHAM;3851;141
FUMINA;3825;34
FUMINA SOUTH;3825;73
FYANS CREEK;3381;69
FYANSFORD;3218;155
GAFFNEYS CREEK;3723;137
GAINSBOROUGH;3822;33
GANNAWARRA;3568;99
GAPSTED;3737;142
GARDENVALE;3185;817
GARFIELD;3814;904
GARFIELD NORTH;3814;117
GARIBALDI;3352;97
GARVOC;3265;256
GATEWAY ISLAND;3691;71
GATUM;3407;36
GAZETTE;3289;59
GEELONG;3215;1
GEELONG;3220;5996
GEELONG WEST;3218;4980
GELANTIPY;3885;106
GELLIBRAND;3239;361
GELLIBRAND LOWER;3237;83
GELLIONDALE;3971;35
GEMBROOK;3783;1162
GENOA;3891;123
GENTLE ANNIE;3833;10
GEORGES CREEK;3700;55
GERAHMIN;3546;51
GERANG GERUNG;3418;157
GERANGAMETE;3249;121
GERMANIA;3387;20
GERMANTOWN;3741;29
GERRIGERRUP;3289;37
GHERANG;3240;179
GHERINGHAP;3331;78
GHIN GHIN;3717;116
GIFFARD;3851;69
GIFFARD WEST;3851;57
GIL GIL;3480;23
GILDEROY;3797;47
GILLIESTON;3616;31
GILLUM;3858;1
GIPSY POINT;3891;53
GIRGARRE;3624;397
GIRGARRE EAST;3616;87
GISBORNE;3437;4315
GISBORNE SOUTH;3437;333
GLADFIELD;3575;41
GLADSTONE PARK;3043;3536
